Boston       , 4.6 , 40666.0 , 73.0 , 12.0
Chicago       , 8.1 , 35918.0 , 73.0 , 8.0
Dallas       , 3.9 , 32825.0 , 64.0 , 8.0
Detroit       , 4.7 , 34729.0 , 76.0 , 7.0
Houston       , 1.7 , 31488.0 , 67.0 , 8.0
Los Angeles       , 14.5 , 36711.0 , 59.0 , 8.0
New York       , 18.1 , 38445.0 , 73.0 , 11.0
Philadelphia       , 5.9 , 35797.0 , 70.0 , 8.0
Portland     , 4.5 , 48000.0 , 80.0 , 31.0
San Francisco       , 6.3 , 41459.0 , 60.0 , 11.0
Seattle      , 6.0 , 50000.0 , 70.0 , 30.0
Washington       , 3.9 , 47254.0 , 32.0 , 17.0
